TILEID,PROGRAM,SURVEY,LASTNIGHT,PETALID,H,H_TILE,N_GAL,N_STAR,N_QSO,N_GOOD_Z
22377,bright,main,20210921,3,0.9893409447911409,0.9991173290216693,233,163,2,398
22377,bright,main,20210921,4,0.9863787864693538,0.9991173290216693,120,88,0,208
22377,bright,main,20210921,5,0.9863663442625025,0.9991173290216693,255,154,2,411
22377,bright,main,20210921,6,0.9838612395080238,0.9991173290216693,259,163,5,427
22377,bright,main,20210921,7,0.9857272898067162,0.9991173290216693,275,97,3,375
22377,bright,main,20210921,8,0.9919848677908116,0.9991173290216693,332,79,6,417
22377,bright,main,20210921,9,0.9914656399837306,0.9991173290216693,294,128,6,428
22372,bright,main,20210921,0,0.9943000920992445,0.9994054577108533,259,177,1,437
22372,bright,main,20210921,1,0.9878509682000893,0.9994054577108533,140,54,2,196
22372,bright,main,20210921,2,0.9923840338696385,0.9994054577108533,320,110,8,438
22372,bright,main,20210921,3,0.9943198140528713,0.9994054577108533,314,83,2,399
22372,bright,main,20210921,4,0.9830721028504821,0.9994054577108533,158,45,3,206
22372,bright,main,20210921,5,0.9903222031562764,0.9994054577108533,305,103,8,416
22372,bright,main,20210921,6,0.9931707842962327,0.9994054577108533,301,127,4,432
22372,bright,main,20210921,7,0.9908003302312236,0.9994054577108533,256,115,4,375
22372,bright,main,20210921,8,0.9927033606604374,0.9994054577108533,284,136,6,426
22372,bright,main,20210921,9,0.9952587814642135,0.9994054577108533,282,146,2,430
23068,bright,main,20210921,0,0.99376348328621,0.9991725508337593,342,88,8,438
23068,bright,main,20210921,1,0.975267931006609,0.9991725508337593,157,32,1,190
23068,bright,main,20210921,2,0.990361899071204,0.9991725508337593,352,63,9,424
23068,bright,main,20210921,3,0.9909592298414419,0.9991725508337593,321,63,7,391
23068,bright,main,20210921,4,0.9630303449101489,0.9991725508337593,175,24,3,202
23068,bright,main,20210921,5,0.9970608093321274,0.9991725508337593,326,66,2,394
23068,bright,main,20210921,6,0.9931893928469987,0.9991725508337593,357,63,3,423
23068,bright,main,20210921,7,0.9888454651251757,0.9991725508337593,291,71,6,368
23068,bright,main,20210921,8,0.99275077604603,0.9991725508337593,341,50,4,395
23068,bright,main,20210921,9,0.995593814307987,0.9991725508337593,348,71,3,422
26176,bright,main,20210921,0,0.9952753895541878,0.998618869809118,319,104,2,425
26176,bright,main,20210921,1,0.9703071880882473,0.998618869809118,147,32,3,182
26176,bright,main,20210921,2,0.9946860812104448,0.998618869809118,319,83,6,408
26176,bright,main,20210921,3,0.9907922648819694,0.998618869809118,312,51,5,368
26176,bright,main,20210921,4,0.9933428340170151,0.998618869809118,152,44,4,200
26176,bright,main,20210921,5,0.9950387304481654,0.998618869809118,316,73,4,393
26176,bright,main,20210921,6,0.990291566109368,0.998618869809118,312,95,5,412
26176,bright,main,20210921,7,0.9904794186803378,0.998618869809118,254,92,6,352
26176,bright,main,20210921,8,0.9937311514366178,0.998618869809118,323,72,7,402
26176,bright,main,20210921,9,0.9898553475310664,0.998618869809118,325,84,8,417
25557,bright,main,20210921,0,0.9909064986517727,0.9985586707550019,300,129,7,436
25557,bright,main,20210921,1,0.9757663125682993,0.9985586707550019,125,66,4,195
25557,bright,main,20210921,2,0.9961526999302136,0.9985586707550019,292,137,3,432
25557,bright,main,20210921,3,0.9917867745180009,0.9985586707550019,252,146,1,399
25557,bright,main,20210921,4,0.9867477338510464,0.9985586707550019,99,109,4,212
25557,bright,main,20210921,5,0.9877472855317454,0.9985586707550019,242,166,5,413
25557,bright,main,20210921,6,0.994390268458702,0.9985586707550019,253,175,6,434
25557,bright,main,20210921,7,0.9956026178702124,0.9985586707550019,227,148,2,377
25557,bright,main,20210921,8,0.9920357017084533,0.9985586707550019,241,184,0,425
25557,bright,main,20210921,9,0.9952612113354723,0.9985586707550019,281,145,6,432
25606,bright,main,20210921,0,0.9946010980057893,0.9996152088315227,320,110,4,434
25606,bright,main,20210921,1,0.9853262942541374,0.9996152088315227,140,55,2,197
25606,bright,main,20210921,2,0.9947520231898674,0.9996152088315227,269,155,1,425
25606,bright,main,20210921,3,0.9956001129859674,0.9996152088315227,197,198,3,398
25606,bright,main,20210921,4,0.9875226131230463,0.9996152088315227,109,93,2,204
25606,bright,main,20210921,5,0.9932684517394917,0.9996152088315227,263,146,0,409
25606,bright,main,20210921,6,0.9937293165195122,0.9996152088315227,260,154,4,418
25606,bright,main,20210921,7,0.9938446982156408,0.9996152088315227,217,159,2,378
25606,bright,main,20210921,8,0.9952924749492025,0.9996152088315227,288,120,3,411
25606,bright,main,20210921,9,0.9918945174710001,0.9996152088315227,301,109,7,417
25534,bright,main,20210921,0,0.991596202956492,0.9987795919540668,316,121,3,440
25534,bright,main,20210921,1,0.9814645588160552,0.9987795919540668,116,78,2,196
25534,bright,main,20210921,2,0.9906311734879419,0.9987795919540668,326,102,6,434
25534,bright,main,20210921,3,0.9917982039829846,0.9987795919540668,257,142,3,402
25534,bright,main,20210921,4,0.9796964933381077,0.9987795919540668,140,66,2,208
25534,bright,main,20210921,5,0.990539352987814,0.9987795919540668,301,103,7,411
25534,bright,main,20210921,6,0.991083440123128,0.9987795919540668,271,155,4,430
25534,bright,main,20210921,7,0.9943623544359457,0.9987795919540668,252,124,2,378
25534,bright,main,20210921,8,0.996790424000803,0.9987795919540668,303,110,7,420
25534,bright,main,20210921,9,0.9893703800206127,0.9987795919540668,254,174,2,430
26175,bright,main,20210921,0,0.9907264713414397,0.9988716234081676,363,69,4,436
26175,bright,main,20210921,1,0.9925523856690718,0.9988716234081676,161,33,2,196
26175,bright,main,20210921,2,0.990985420589773,0.9988716234081676,344,71,8,423
26175,bright,main,20210921,3,0.996546092517509,0.9988716234081676,330,56,4,390
26175,bright,main,20210921,4,0.9887082254178777,0.9988716234081676,177,22,1,200
26175,bright,main,20210921,5,0.9869145590615263,0.9988716234081676,318,81,3,402
26175,bright,main,20210921,6,0.9912184703737487,0.9988716234081676,333,89,2,424
26175,bright,main,20210921,7,0.9943079707424504,0.9988716234081676,294,71,2,367
26175,bright,main,20210921,8,0.9893270114656519,0.9988716234081676,326,86,4,416
26175,bright,main,20210921,9,0.992048097956828,0.9988716234081676,330,83,6,419
22471,bright,main,20210921,0,0.9921763489640166,0.9994056692672199,336,94,6,436
22471,bright,main,20210921,1,0.9846160881237425,0.9994056692672199,117,77,2,196
22471,bright,main,20210921,2,0.996030418449524,0.9994056692672199,264,165,5,434
22471,bright,main,20210921,3,0.9961999622160064,0.9994056692672199,251,149,0,400
22471,bright,main,20210921,4,0.9876986395047403,0.9994056692672199,125,86,0,211
22471,bright,main,20210921,5,0.9943771407959578,0.9994056692672199,287,118,7,412
22471,bright,main,20210921,6,0.9914493599981529,0.9994056692672199,317,104,4,425
22471,bright,main,20210921,7,0.9908473422782014,0.9994056692672199,292,83,0,375
22471,bright,main,20210921,8,0.9967867983235712,0.9994056692672199,327,95,7,429
22471,bright,main,20210921,9,0.9911624128773052,0.9994056692672199,347,70,3,420
23960,bright,main,20210921,0,0.9928877054790013,0.9985282812930851,293,146,5,444
23960,bright,main,20210921,1,0.9814213423113389,0.9985282812930851,148,48,1,197
23960,bright,main,20210921,2,0.9902543962940804,0.9985282812930851,361,66,4,431
23960,bright,main,20210921,3,0.991472732834946,0.9985282812930851,311,80,5,396
23960,bright,main,20210921,4,0.991472732834946,0.9985282812930851,311,80,5,396
23960,bright,main,20210921,5,0.9901405968719211,0.9985282812930851,320,96,4,420
23960,bright,main,20210921,6,0.9891777761039143,0.9985282812930851,290,138,3,431
23960,bright,main,20210921,7,0.9866900824024631,0.9985282812930851,203,172,1,376
23960,bright,main,20210921,8,0.9926832948061667,0.9985282812930851,266,147,5,418
23960,bright,main,20210921,9,0.9943364070219222,0.9985282812930851,270,154,3,427
20078,bright,main,20210921,0,0.9909006303337323,0.9991234908491685,331,105,8,444
20078,bright,main,20210921,1,0.9679366889787507,0.9991234908491685,151,38,4,193
20078,bright,main,20210921,2,0.9936974166618523,0.9991234908491685,349,83,5,437
20078,bright,main,20210921,3,0.9853838999737,0.9991234908491685,293,101,5,399
20078,bright,main,20210921,4,0.9671437566411315,0.9991234908491685,155,52,2,209
20078,bright,main,20210921,5,0.9923705585203708,0.9991234908491685,323,91,6,420
20078,bright,main,20210921,6,0.9880325833006476,0.9991234908491685,318,109,4,431
20078,bright,main,20210921,7,0.9904210960051804,0.9991234908491685,273,95,7,375
20078,bright,main,20210921,8,0.9945370049806411,0.9991234908491685,321,97,9,427
20078,bright,main,20210921,9,0.9956710048702001,0.9991234908491685,298,129,3,430
23208,bright,main,20210921,0,0.9939174796277402,0.9993695475479162,327,105,2,434
23208,bright,main,20210921,1,0.9863839314922264,0.9993695475479162,115,76,3,194
23208,bright,main,20210921,2,0.9946594379368137,0.9993695475479162,277,156,3,436
23208,bright,main,20210921,3,0.9923894382718783,0.9993695475479162,250,149,1,400
23208,bright,main,20210921,4,0.982422533804362,0.9993695475479162,149,58,0,207
23208,bright,main,20210921,5,0.9941600928122857,0.9993695475479162,296,113,1,410
23208,bright,main,20210921,6,0.9936156488679333,0.9993695475479162,304,127,4,435
23208,bright,main,20210921,7,0.9937595178403,0.9993695475479162,303,69,3,375
23208,bright,main,20210921,8,0.9927820962072529,0.9993695475479162,353,66,7,426
23208,bright,main,20210921,9,0.98894177006469,0.9993695475479162,320,89,6,415
23209,bright,main,20210921,0,0.9928002843305499,0.9987774650483509,328,109,1,438
23209,bright,main,20210921,1,0.9799285837525854,0.9987774650483509,99,98,0,197
23209,bright,main,20210921,2,0.9934220133617087,0.9987774650483509,285,145,3,433
23209,bright,main,20210921,3,0.9920561303743629,0.9987774650483509,295,106,3,404
23209,bright,main,20210921,4,0.9911154721578447,0.9987774650483509,170,36,0,206
23209,bright,main,20210921,5,0.991955003762734,0.9987774650483509,321,98,0,419
23209,bright,main,20210921,6,0.9956499645751818,0.9987774650483509,365,59,1,425
23209,bright,main,20210921,7,0.9934856163832448,0.9987774650483509,291,82,3,376
23209,bright,main,20210921,8,0.9887560850993988,0.9987774650483509,338,87,4,429
23209,bright,main,20210921,9,0.9923996950183287,0.9987774650483509,318,110,4,432
22386,bright,main,20210921,0,0.9910598522910211,0.9989116017693221,322,110,6,438
22386,bright,main,20210921,1,0.965357258890755,0.9989116017693221,162,32,2,196
22386,bright,main,20210921,2,0.9914731465539508,0.9989116017693221,286,142,2,430
22386,bright,main,20210921,3,0.990491183196847,0.9989116017693221,235,162,5,402
22386,bright,main,20210921,4,0.9878077499360552,0.9989116017693221,131,72,1,204
22386,bright,main,20210921,5,0.9923823462595583,0.9989116017693221,243,164,6,413
22386,bright,main,20210921,6,0.9930431898735035,0.9989116017693221,254,163,4,421
22386,bright,main,20210921,7,0.9881654210929298,0.9989116017693221,292,80,3,375
22386,bright,main,20210921,8,0.9905459574869236,0.9989116017693221,328,91,3,422
